Area (sq. ft.),Labor Cost (₹),Material Type,Pipes (₹),Lights (₹),Fans (₹),Steel (₹),Bricks (₹),Total Cost (₹)
1750,49475,1,6772,2506,6961,127578,84489,2210090
3610,115704,1,5007,12412,4171,151309,75790,4103072
634,97380,0,11245,5065,5239,67591,76080,1399186
1109,69165,1,17447,11998,3915,84685,80666,2210379
1557,141189,0,15709,10163,8243,183851,78556,2589980
3534,147939,0,10776,5217,8323,191313,62183,4206771
2488,144412,0,9100,6894,4360,194460,30681,4808117
4274,135824,1,7887,12638,3084,184114,79741,8756531
2746,39942,0,12546,2988,8031,119086,71320,4448239
758,63660,0,17668,7368,4495,54494,40650,1051656
4400,38406,1,18233,9744,9550,51062,38768,7536908
1415,115349,0,11749,10676,4558,152945,75389,1886862
4442,43171,0,15194,13624,8239,124469,45576,5427549
737,118665,0,18195,12198,8175,171082,84627,1496871
3855,125839,1,12896,2173,6886,198908,27914,5289638
1187,115564,1,8755,12058,9544,198832,58337,2794254
1658,122727,1,5972,11573,7609,66766,75293,3389047
2629,117259,1,10955,9055,7457,181138,53951,3836435
1094,112525,0,11793,3462,6799,70287,71624,2424880
3201,87895,1,17591,11245,3032,128323,45610,4805618
2250,142976,1,10275,9644,9136,136770,43488,3981128
902,83566,0,16012,12792,4784,182507,38547,1748947
1321,46312,0,16227,14354,5796,149957,47921,2459670
4338,128039,1,12467,14775,7715,129837,23079,5810772
2735,81665,0,16934,2784,3270,89592,31546,5482601
3040,59400,0,17559,7657,6871,71873,50929,4061947
2802,135347,1,17410,7237,4385,190896,65569,5185728
2197,47561,1,9606,13080,9817,141917,33904,4235261
4428,75406,0,7326,7476,3443,88961,82410,8596354
2113,117101,0,12004,10439,6541,184668,43853,3453111
4179,113403,1,8438,3630,6870,120851,84709,7591030
4052,59621,1,10652,12698,8902,106689,48036,4744590
2727,82463,1,12041,2725,3147,157794,50379,5257208
4178,116205,0,16030,9149,6689,68647,82306,7634160
1964,119233,0,18007,9298,5518,137331,45970,3105784
3600,39737,0,10002,12615,3542,143509,91127,5028979
4613,62035,1,10749,13120,5305,191836,67261,6817168
2456,142257,1,19458,5483,7364,138599,99923,3191515
4593,143723,1,19024,4691,5025,166141,88910,8049955
1186,105224,1,6873,9079,3351,192193,21823,2707399
2536,42974,1,5396,12341,3368,116143,26955,4531458
4079,54648,0,7348,6152,9543,195375,60799,6780808
1100,68126,0,10959,13456,7878,139806,29872,2459871
1543,118479,0,8465,6526,9168,167528,57535,2746757
1879,58612,0,9698,4511,7427,67801,81453,2758318
1541,138722,0,11736,6257,5587,110683,44008,2943876
2073,145778,0,9311,3964,5152,180372,47788,3546284
4971,72576,1,12956,4079,3779,173409,76305,10246360
1863,44583,1,5000,11387,9868,148059,98463,3953250
1510,51186,1,12311,7101,4483,164528,80171,3359510
1756,55563,1,10369,12336,5485,196879,68812,2207238
1627,56691,0,6194,10330,6257,108861,32784,2391878
1523,94337,0,16232,14428,6440,186738,89597,2886028
4194,97127,0,19469,11528,9287,189687,75091,5889277
3284,110994,1,6099,5027,5749,64738,36020,5768388
4816,35901,1,8551,11880,7169,199307,46234,8668249
1549,136383,1,15863,10389,4015,51917,25408,2858441
2801,137083,0,5761,3444,9025,95953,95248,4431102
1654,39034,0,17554,8275,6571,179652,31422,3088937
529,66417,1,19801,12604,8057,69948,93762,1312408
1286,123728,1,12617,6633,4075,170558,32106,2630887
4605,110652,1,13287,13729,7893,65629,77488,8732953
3660,47949,1,17208,11484,6680,133554,92271,7536087
1670,148297,1,15992,8215,4039,50125,39475,2207336
3698,65697,1,19611,6018,5185,112394,90106,7448950
3245,63489,0,14765,10494,5702,138185,31511,4396714
1864,31804,1,17599,9584,7889,115887,24429,3222057
2041,108147,0,10466,4026,7284,181521,27189,4303013
4646,90538,0,11126,9375,4015,57172,36821,7735904
4993,94544,1,13458,11385,7622,118604,70032,5828908
813,96190,0,19609,14006,4669,63469,67562,1484376
3195,103872,1,16856,14455,9272,155960,54000,6506857
1029,77877,1,6121,6310,9257,187935,24466,1865011
2966,72656,1,7604,7235,8206,149096,89712,5915552
2741,52837,1,11809,10335,5273,117914,44522,5260545
811,83391,0,18626,9479,9267,105869,41199,1813947
1495,43229,0,8205,5619,4642,93328,70316,2113633
3023,57287,1,9650,13486,6928,55856,60048,4827341
3131,47276,0,14309,8379,9272,101575,63772,4425125
763,122676,1,16443,3887,5392,194558,47676,1661278
4352,34290,1,15086,14756,7389,60533,97262,4764538
520,123666,1,15495,8991,5511,77026,59561,1035920
3024,80812,1,16197,8839,9894,87584,61870,6334681
1696,58122,1,15993,4012,4576,98779,70298,3070688
3633,142203,0,12903,3327,8567,148881,62346,4640915
705,67681,0,10136,7612,8257,55319,67610,1279979
2136,53720,0,17108,11935,6738,159600,40991,3916992
1130,139272,1,14844,4830,3503,158027,52251,2284931
2726,102886,1,17845,11159,7006,103290,83010,4519441
2889,83072,0,17968,8030,5502,168420,37300,5156365
1598,137632,0,10260,8292,3325,85538,66237,2176059
789,145987,1,15629,8612,4580,138481,64911,1612929
3104,32523,1,15965,10326,6850,71277,54477,5724228
707,129964,1,18024,6915,6837,151457,27977,1557849
4314,37630,1,17237,6114,7887,178212,29708,8600477
771,34512,0,7095,4645,5360,173811,94950,1433512
4178,64626,0,15850,6236,3551,153174,83664,5057344
914,55286,1,7842,14693,6928,114708,51639,1309661
3968,38329,0,16525,13974,3292,93784,72804,6101207
4979,41752,0,11713,14787,4794,134012,38946,7403679
1784,146441,1,7300,2034,3963,189889,94036,2785281
2162,106584,0,6726,9810,4603,160080,73769,3800266
4514,70103,1,5512,9534,7472,158515,57399,6051828
1541,145872,0,11890,6751,5792,162364,85021,2292040
4590,86079,1,5795,6751,7992,68253,82723,7803573
2794,94279,1,9959,5777,4629,195444,90834,5935090
4213,109607,0,17443,10016,7814,159587,95267,5467022
2961,112653,1,14818,5749,7396,150294,90686,3983932
1843,81003,1,19281,14311,6358,150983,58328,3230426
3262,36520,1,8281,5029,3292,63352,24296,3892377
2728,88697,1,17611,6529,3113,65269,38461,3849952
3867,136890,0,12909,4262,7036,58491,78612,7996468
1443,100827,1,10884,2363,8674,132154,98837,3110364
4656,114437,0,19066,4514,6156,189150,92179,8369209
4559,45106,0,14256,2824,5819,165792,56006,4967447
665,66095,0,13553,8379,9342,125802,41090,1105534
2405,62423,1,15611,3146,3633,149061,32312,4141238
3556,101660,0,7998,14855,7636,192891,39704,6446502
1823,108967,1,18727,2597,4891,77481,64601,3418711
850,81218,1,15874,12704,3873,86011,47876,1355198
2810,75863,1,16925,9245,5559,97623,65529,4491008
3809,144484,0,5751,10795,5803,184977,55433,4972354
1431,128550,1,6336,11548,4521,190150,87885,3281618
4338,117244,0,14493,11463,5336,98292,33144,7036041
1613,103123,1,9417,5685,8556,199876,71988,2741133
2686,98674,1,6960,7456,8864,188347,36880,5598979
2489,145029,0,9650,4120,6704,51339,53153,5008954
1885,126600,1,8105,8973,8648,102653,71401,3261609
3984,76995,1,17401,9693,8771,60724,79808,7073515
1616,123880,0,5001,11921,7608,158180,51774,2489617
633,32434,0,5749,2233,8303,189482,33699,1099650
4451,145029,0,12738,11403,7118,59713,32098,7165200
1727,46491,0,16271,3300,4542,171080,61412,3492251
3609,135124,0,18472,4466,5984,81087,65520,6074803
3004,149416,1,7848,13805,6563,181900,91564,4934049
4105,51477,1,12619,4000,4588,95252,34508,7133744
2381,84673,0,8601,10614,8863,69042,94918,4591780
1179,76381,0,18887,4072,9605,74411,85259,2375891
3194,89140,1,17860,3451,8729,180361,50568,4827793
3169,133530,0,17370,7306,6265,141070,54804,6494449
1747,103338,1,14225,12594,4276,145327,63761,2218051
1691,42872,0,13625,6003,6923,85825,51960,2660492
1630,106252,1,5617,8255,5256,141865,74412,3550923
1903,81536,1,10341,12094,3073,96805,49568,3580916
2571,58107,0,13981,6736,5484,89201,73857,4628328
1830,40552,0,8622,14864,4888,182214,70526,2438006
